emp_name,entry_time,scheduled_time,gender,transport,weekday,month,is_holiday,location,lateness_min,lateness_label,lateness_noisy
신지후,09:56,09:00,M,버스,6,9,0,대전,50.0,1,33.87521885739555
이다온,10:08,09:00,M,지하철,3,11,0,인천,-17.0,0,-21.217730336197537
오하,08:48,09:00,F,버스,0,2,0,인천,34.0,1,24.386195154003065
황서윤,09:04,09:00,F,지하철,6,3,0,대구,19.0,1,17.786879137343263
송사,10:50,09:00,M,지하철,6,1,0,대전,-26.0,0,-16.210503710220753
최파,10:33,09:00,F,버스,1,6,0,서울,-18.0,0,-19.08587997332051
장민준,09:14,09:00,F,자차,2,6,0,부산,-15.0,0,-15.53751422665434
임하은,08:43,09:00,M,자차,0,1,1,대전,12.0,1,16.19615470394116
류현우,08:54,09:00,F,자차,5,8,0,대구,-15.0,0,-14.893467210947133
강예솔,09:36,09:00,M,자차,5,1,0,부산,24.0,1,22.925041149053303
권도윤,09:42,09:00,F,자차,0,10,0,대구,-16.0,0,-11.36677037927498
임지우,08:33,09:00,M,자차,4,9,0,부산,17.0,1,19.35943575255903
황서연,08:11,09:00,F,지하철,2,10,0,인천,46.0,1,47.44312880783227
한민수,09:29,09:00,F,자차,3,2,0,부산,-26.0,0,-26.693900762837327
황차,10:23,09:00,F,지하철,1,11,0,대구,31.0,1,29.269676476364683
윤채원,08:27,09:00,F,지하철,5,7,0,대전,-23.0,0,-18.414145573841687
홍바,09:13,09:00,F,지하철,2,11,0,서울,-2.0,0,-3.6823130993958646
안서연,08:29,09:00,F,자차,5,9,0,광주,-15.0,0,-8.843735603219935
권사,08:43,09:00,F,자차,1,8,0,서울,48.0,1,42.764268168553585
오차,09:50,09:00,M,도보,4,1,0,대구,-8.0,0,-0.8310802274711104
최민준,08:51,09:00,M,도보,2,9,0,광주,-4.0,0,-1.63979958455791
박주원,08:47,09:00,M,자차,6,6,0,대전,-25.0,0,-29.84267461526003
임민준,10:59,09:00,F,지하철,3,11,0,부산,-25.0,0,-22.455106827238467
류마,08:31,09:00,F,자차,5,9,1,서울,-28.0,0,-31.2515144915864
신지훈,08:34,09:00,M,자차,0,1,0,광주,-11.0,0,-10.832859728262623
안가,10:47,09:00,M,자차,4,11,0,대전,-12.0,0,-14.433135685726256
안다온,09:39,09:00,F,지하철,0,1,0,인천,-23.0,0,-23.664560820665393
강서윤,08:07,09:00,F,지하철,2,4,0,서울,28.0,1,32.70715396904934
한하린,09:16,09:00,F,도보,1,3,0,인천,-5.0,0,-2.4074417392665675
강나,09:41,09:00,M,지하철,0,12,0,대구,-1.0,0,-6.626826958845392
신유진,08:45,09:00,M,지하철,4,2,0,대구,-12.0,0,-17.340482208292194
이서윤,09:38,09:00,M,버스,1,11,0,서울,55.0,1,56.35387805132667
오하린,09:56,09:00,F,지하철,3,3,0,부산,-18.0,0,-16.284064365521118
안주원,08:45,09:00,F,지하철,5,8,0,대전,-13.0,0,-16.37222489693549
윤사,10:26,09:00,F,도보,1,2,1,서울,-6.0,0,1.9565774149101873
강바,09:21,09:00,M,자차,4,5,0,대전,45.0,1,49.06747468634798
김하은,10:53,09:00,M,도보,2,8,0,인천,-15.0,0,-18.12788182692397
송라,08:15,09:00,F,지하철,2,9,0,인천,-28.0,0,-31.611276579079963
임차,08:58,09:00,F,지하철,4,11,0,대전,-8.0,0,-9.139066068566235
한서윤,10:09,09:00,M,버스,4,10,0,부산,-12.0,0,-13.6592720553708
장지후,10:41,09:00,F,버스,4,7,0,대전,-9.0,0,-2.719212531341115
조서연,08:39,09:00,F,지하철,1,4,0,부산,2.0,1,6.922614864974434
박나,10:56,09:00,M,자차,4,4,0,대구,-8.0,0,-7.824652432493048
권유진,08:34,09:00,F,도보,1,12,0,대구,10.0,1,13.389527804446075
류아,09:14,09:00,F,버스,1,8,0,인천,-19.0,0,-14.885123868277255
한차,08:56,09:00,F,지하철,6,11,0,부산,-11.0,0,-10.708696358667328
최도윤,09:16,09:00,M,지하철,0,6,0,광주,55.0,1,57.01309339684545
권자,10:42,09:00,F,지하철,2,6,0,서울,-18.0,0,-15.02906222953859
전나,10:11,09:00,M,지하철,3,10,1,인천,0.0,0,2.43802861824442
윤하,10:23,09:00,F,버스,1,9,0,인천,6.0,1,2.105980857621044
한다온,08:45,09:00,M,버스,5,3,0,인천,-19.0,0,-22.38854878673031
안하,10:50,09:00,F,버스,3,7,0,인천,18.0,1,16.55702669156975
강시현,09:18,09:00,F,자차,5,3,0,광주,-3.0,0,-6.533321395234443
황예린,09:57,09:00,M,지하철,2,10,0,대전,-11.0,0,-18.365502863178264
임파,10:05,09:00,M,지하철,6,1,0,부산,-26.0,0,-22.620240195254794
권하은,09:59,09:00,M,지하철,5,10,0,대구,51.0,1,52.732040634345005
안자,09:48,09:00,F,지하철,2,12,0,인천,-10.0,0,-16.696832881462733
임타,09:26,09:00,F,버스,6,1,0,대구,-20.0,0,-21.204583558637683
한시현,09:56,09:00,F,자차,6,8,0,대전,-10.0,0,-10.921429086263137
조예솔,10:42,09:00,M,자차,4,1,1,인천,7.0,1,7.909722142549697
이예솔,09:10,09:00,M,자차,0,5,0,인천,-27.0,0,-32.40961224323829
황바,09:31,09:00,M,버스,4,5,0,부산,-28.0,0,-34.76997117997206
최사,08:32,09:00,F,지하철,4,7,0,대구,58.0,1,60.59862248016955
신다,09:03,09:00,F,버스,2,12,0,인천,-27.0,0,-34.669810061343114
최자,10:18,09:00,M,지하철,1,6,0,대구,-11.0,0,-12.163317465273316
조파,09:55,09:00,M,자차,3,5,0,광주,-9.0,0,-10.630385928791135
임주원,08:38,09:00,F,버스,5,2,0,서울,-18.0,0,-18.61642159113393
조민수,09:38,09:00,F,지하철,2,11,1,서울,-24.0,0,-22.73641189411074
장유진,10:26,09:00,M,지하철,3,4,0,대구,-15.0,0,-7.007146910942968
이현우,08:22,09:00,F,지하철,0,6,0,부산,-22.0,0,-29.997461002954502
권유진,08:11,09:00,M,도보,4,2,0,광주,-26.0,0,-21.617092086336253
최하린,09:10,09:00,M,지하철,6,4,0,대전,-22.0,0,-34.56078953065689
안예린,09:58,09:00,M,지하철,5,7,0,대구,-11.0,0,-4.031444255913408
오아,08:56,09:00,F,지하철,3,11,0,인천,-7.0,0,-17.214346702685784
